사업장명,전화번호,도로명주소
서울종합동물병원,,서울특별시 성북구 보문로 137 (보문동2가)
대학동물병원,,"서울특별시 성북구 화랑로 299, 2층 210호 (장위동, 석계역 한일노벨리아시티)"
강북동물병원,,서울특별시 성북구 종암로 65 (종암동)
드림동물병원,,서울특별시 성북구 동소문로 74 (동소문동5가)
길음동물병원,,"서울특별시 성북구 동소문로 248 (길음동, 삼부상가 102동 6,7호)"
행복한동물병원,,서울특별시 성북구 돌곶이로 91 (장위동)
미소동물병원,,서울특별시 성북구 종암로 91(종암동)
중앙동물병원,,서울특별시 성북구 돌곶이로 56 (석관동)
비비펫 동물병원,,서울특별시 성북구 화랑로 91 (하월곡동)
보성통증동물병원,,"서울특별시 성북구 보국문로 68-1, 정호빌딩 1층 (정릉동)"
ZOO동물병원,,"서울특별시 성북구 정릉로 328, 1층 (정릉동)"
우리동물병원,,서울특별시 성북구 삼양로 84 (길음동)
24시 애니동물병원,,서울특별시 성북구 보문로 99 (보문동5가)
VIP 동물의료센터,,"서울특별시 성북구 동소문로 73, 시티플레이스 1층 101호, 비101호, 비201호, 비202호 (동소문동6가)"
태양 동물병원,,서울특별시 성북구 돌곶이로 31 (석관동)
쓰담쓰담 동물병원,,서울특별시 성북구 종암로 113 (종암동)
호담동물병원,,서울특별시 성북구 동소문로 302 (하월곡동)
꿈의숲동물병원,,"서울특별시 성북구 돌곶이로 220, 105동 112호 (장위동, 꿈의숲코오롱하늘채아파트)"
도담도담동물병원,,"서울특별시 성북구 화랑로 76 (하월곡동, 코업스타클래스 1층)"
동물을사랑하는사람들,,서울특별시 강북구 도봉로98길 56 (번동)
삼양동물병원,,"서울특별시 강북구 삼양로 190, 백운M빌딩 1층 (미아동)"
중앙동물병원,,서울특별시 강북구 도봉로 88 (미아동)
동물병원 위드,,서울특별시 강북구 덕릉로 79 (수유동)
사랑동물병원,,서울특별시 강북구 삼양로123길 6-12 (수유동)
현대종합동물병원,,서울특별시 강북구 노해로 94 (수유동)
강북동물병원,,"서울특별시 강북구 오현로 194 (번동, 덕수빌딩 1층)"
삼성동물병원,,"서울특별시 강북구 삼양로19길 25, 110동 지층 1-2,1-3호 (미아동, 삼성래미안트리베라1차아파트)"
보노보노동물병원,,"서울특별시 강북구 삼양로 336, 예향교회 1층 (수유동)"
호 동물병원,,"서울특별시 강북구 월계로 57, 2층 (미아동)"
쿠키동물병원,29869875.0,"서울특별시 강북구 삼양로27길 19 (미아동, 래미안트리베라 201동 116호)"
봉식동물병원,29837000.0,서울특별시 강북구 삼양로 252 (미아동)
스마트 동물병원,29877588.0,"서울특별시 강북구 솔샘로 203-2, 1층 (미아동)"
H 동물병원,29847588.0,"서울특별시 강북구 삼양로27길 35-21, 미아프라자 106호 (미아동)"
꼬마동물병원,29938266.0,"서울특별시 강북구 삼양로117길 5, 1층 (수유동)"
24시 수유 바른펫 동물의료센터,29037582.0,"서울특별시 강북구 노해로 65, 1, 2층 (수유동, 리안스페이스)"
24시루시드동물메디컬센터,29417900.0,"서울특별시 강북구 월계로 3, 덕신빌딩 4층 (미아동)"
아이사랑동물병원,29460011.0,"서울특별시 강북구 삼양로24길 19, 102동 110호 (미아동, 현대성우아파트)"
모네동물피부과,7086913121.0,"서울특별시 강북구 도봉로 110-1, 4층 (미아동)"
아이사랑동물병원 건강검진센터,29460011.0,"서울특별시 강북구 삼양로24길 19, 현대성우아파트 102동 1층 109호 (미아동, 현대성우아파트)"
마인동물의료센터,220398900.0,"서울특별시 강북구 덕릉로 133, 해솔빌딩 1층 102호, B1층 102호 (번동)"
강북24시 N동물의료센터,29840075.0,"서울특별시 강북구 도봉로 104, 1, B1, B2층 (미아동)"
솔샘동물병원,,"서울특별시 강북구 삼양로27길 19, 상가 204동 108호 (미아동, 삼성래미안트리베라아파트)"
애니케어 동물병원 수유점,,서울특별시 강북구 삼양로 499 (수유동)
대형동물병원,,서울특별시 강북구 한천로 1135(수유동)
창문동물병원,29880251.0,서울특별시 강북구 월계로 35 (미아동)
위즈동물병원,29877959.0,서울특별시 강북구 도봉로 202 (미아동)
24시 딜라이트 동물의료센터,29041004.0,"서울특별시 도봉구 도봉로 578, 2층 2호 (창동)"
동물병원 비아츠,,서울특별시 도봉구 우이천로 446-3 (쌍문동)
퓨리나동물병원,,서울특별시 도봉구 도봉로 469 (쌍문동)
신창동물병원,,서울특별시 도봉구 덕릉로 230 (창동)
화신종합동물병원,34917060.0,서울특별시 도봉구 도당로 63 (방학동)
한빛동물병원,,서울특별시 도봉구 덕릉로 256 (창동)
방학동물병원,34940075.0,서울특별시 도봉구 도봉로 723 (방학동)
가나동물병원,34914748.0,서울특별시 도봉구 방학로 162 (방학동)
삼성동물종합병원,,"서울특별시 도봉구 도봉로 499, 1층 (쌍문동)"
유현동물병원,,"서울특별시 도봉구 방학로 187, 105호 (방학동, 한화아파트 상가)"
행복한동물병원,,"서울특별시 도봉구 도봉로136길 7, 한독패밀리타운 108호 (창동)"
365동물병원,264020365.0,서울특별시 도봉구 방학로 54 (방학동)
하비동물병원,20389980.0,"서울특별시 도봉구 노해로65길 14, 1층, 지층 (창동, 영일빌딩)"
별난동물병원,29059119.0,"서울특별시 도봉구 도봉로 603, 1층, 지층 (쌍문동)"
방학동물외과센터,34940075.0,"서울특별시 도봉구 도봉로 723, 3층 (방학동)"
트윈스동물병원,,서울특별시 도봉구 도봉로110다길 20 (창동)
해봄동물병원,,"서울특별시 도봉구 도봉로180길 28, 도봉투웨니퍼스트2단지 (도봉동)"
태일동물치과병원,,서울특별시 도봉구 해등로 184 (쌍문동)
둘리동물병원,,"서울특별시 도봉구 도봉로 502, 1층 (창동)"
도담동물병원,,서울특별시 도봉구 도봉로 875 (도봉동)
현대종합동물병원,34918000.0,"서울특별시 도봉구 도봉로 669, 1층 (방학동)"
빛가온동물병원,63690075.0,"서울특별시 도봉구 마들로 695, 1층 (도봉동)"
김미경 동물병원,,"서울특별시 도봉구 마들로 664, 킴스타워 2층 (도봉동)"
보듬동물병원,269547544.0,"서울특별시 도봉구 해등로 255, 101동 1층 121~123호 (쌍문동, 에벤에셀아파트)"
사랑해요동물병원,,"서울특별시 도봉구 시루봉로 59, 104호 (쌍문동)"
아이조은동물병원,,"서울특별시 도봉구 해등로26길 7, 111, 112호 (쌍문동)"
키움 동물병원,29497582.0,"서울특별시 노원구 노원로1길 9 (공릉동, 해중빌딩)"
웰니스 동물병원,29490975.0,"서울특별시 노원구 마들로3길 15, 월계이마트 2층 (월계동)"
닥터스종합동물병원,29057588.0,"서울특별시 노원구 월계로 336, 상천빌딩 1층 (월계동)"
24시 우리 동물병원,29328575.0,"서울특별시 노원구 상계로24길 7-10, 1층 (상계동)"
브이아이피 동물의료센터,29311333.0,서울특별시 노원구 동일로 1333 (상계동)
골드퍼피동물병원 공릉점,29715955.0,"서울특별시 노원구 동일로 1014, 1층, 2층 (공릉동)"
앤(N)고양이병원,7043513854.0,"서울특별시 노원구 노원로 408, (주)노원24시동물의료센터 3층 (상계동)"
나우동물의료센터,29529111.0,"서울특별시 노원구 동일로 1636, 1층 (상계동)"
노원 바른 동물의료센터,29365500.0,"서울특별시 노원구 동일로 1598, 부흥빌딩 1, 2층 (상계동)"
베리굿동물병원,,"서울특별시 노원구 동일로203가길 29, 263,264,265호 (중계동, 브라운스톤중계)"
내곁에 동물병원,29527599.0,"서울특별시 노원구 덕릉로 753, 노원 롯데캐슬 시그니처 상가 101동 1-1호 (상계동, 노원 롯데캐슬 시그니처)"
서정동물병원,29307161.0,"서울특별시 노원구 동일로 1640, 오아시스빌딩 1,2층 (상계동)"
별빛동물병원,,"서울특별시 노원구 덕릉로127길 25, 104호 (상계동, 불암산센트럴아파트)"
노원온동물병원,269531445.0,"서울특별시 노원구 노원로 456, 백암빌딩 1층 (상계동)"
롯데동물병원,,"서울특별시 노원구 동일로207길 17, 118호 (중계동, 시영1단지B상가 )"
25시동물병원,,"서울특별시 노원구 한글비석로8길 16, 102호 (중계동, 대림벽산상가)"
은빛동물병원,29326658.0,"서울특별시 노원구 동일로 1649 (상계동, 윤일빌딩)"
은마로동물병원,,"서울특별시 노원구 한글비석로 363, 종로약국 (중계동)"
그린동물병원,29360907.0,"서울특별시 노원구 노원로 540 (상계동, 상계주공아파트 9단지상가)"
고려동물병원,33910075.0,"서울특별시 노원구 덕릉로 738 (상계동, 정진145빌딩)"
미래동물병원,,서울특별시 노원구 공릉로 168 (공릉동)
우리들동물종합병원,,"서울특별시 노원구 동일로 1280, 116호 (중계동, 시영2단지상가)"
당고개동물병원,29327582.0,서울특별시 노원구 덕릉로 810-1 (상계동)
참사랑동물병원,29381122.0,"서울특별시 노원구 한글비석로 272, 101호 (중계동, 중원코아빌딩)"
참동물병원,,"서울특별시 노원구 동일로 1530 (상계동, 다모아빌딩)"
한강동물병원,,서울특별시 노원구 노원로34길 76 (상계동)
수피아동물병원,,"서울특별시 노원구 동일로192길 87, 1층 (공릉동)"
시마동물병원,,"서울특별시 노원구 동일로 1356, 상가동 2층 201호 (상계동, 상계주공4단지아파트)"
수 동물병원,,"서울특별시 노원구 동일로 1689 (상계동, 하이베라스)"
엘케이동물병원,,"서울특별시 노원구 덕릉로 589, 두림빌딩 102호 (중계동)"
브라운동물병원,62243858.0,"서울특별시 노원구 동일로203가길 29 (중계동, 브라운스톤중계)"
